id_filme,titulo,palavras_chave,popularidade
1894,Star Wars: Episode II - Attack of the Clones,renegade jedi named count dooku; old jedi apprentice anakin skywalker; solar systems threaten; senator padmé amidala; anakin discovers,43.987061
16337,The Texas Chainsaw Massacre 2,former texas marshall hunts; radio host; cannibal family; victimized,9.617777
12618,Random Hearts,police sergeant dutch van den broek; kristin scott thomas find; others loved ones posessions; andy heitzthe wife; tragic plane crash,4.137237
9441,Stepmom,must put aside; career minded girlfriend; women realise; unwelcome stepmother; husband luke,16.368283
9352,EuroTrip,trip across europe; gorgeous young woman; scott learns; longtime cyber; friends embark,25.848003
211086,Faith Connections,kumbh mela; biggest gathering; insight; filmmaker; earth,0.48088
58,Pirates of the Caribbean: Dead Man's Chest,captain jack sparrow works; ghostly davey jones; avoid eternal damnation; blood debt; also attempts,145.847379
309809,The Little Prince,"little prince ',; little prince; little girl; seller book; movie tells",35.384423
56288,Spy Kids: All the Time in the World,top spy agency; spy kids department; since also grown; retired spy marissa; since become defunct,14.788073
9594,Double Impact,jean claude van damme plays; twins separated; petty crook; hong kong; hong kong,10.484642
144336,Sabotage,"sabotage "", arnold schwarzenegger leads; elite dea task force; team members mysteriously start; team successfully executes; deadliest drug cartels",27.903999
30082,Forty Shades of Blue,russian woman living; roll legend experiences; much older rock; estranged son comes; personal awakening,0.071377
28665,Fame,new york academy; updated version; performing arts; 1980 musical; students,7.668063
36047,The In Crowd,mentally disturbed young woman takes; wealthy college kids; posh country club; twisted leader; dark secrets,0.249245
1370,Rambo III,top secret mission; find inner peace; must reconsider; mentor col; finally begun,31.294717
58428,The Innkeepers,yankee pedlar inn; two employees determined; old guests check; haunted past begin; experience disturbing events,14.386807
318850,The Young Messiah,family depart egypt; follows young jesus; jesus christ; return home; religious identity,1.884558
1088,Whale Rider,patriarchal new zealand tribe; whangara people believe; pai loves koro; new zealand; new chief,12.439495
174311,All Is Bright,"two french canadian ne ’ er; get rich quick selling christmas trees; paul giamatti ), whose wife rene; odd couple must make; indie breakout hit junebug",3.613577
13223,Gran Torino,korean war veteran whose prize possession; young hmong teenager; unhappy old man; soon taking steps; gang member cousin,50.7453
2142,Cop Land,place everyone calls “ cop land ” —; big city police officers; seemingly peaceful town populated; taking place behind; yet something ugly,19.284129
14434,I Think I Love My Wife,old crush nikki tru; takes lunch late; ogling random women; reference letter; plain bored,4.536745
77950,Turbo,ordinary garden snail; indy 500; winning; tale; dreams,44.765377
82679,Fun Size,oddball little brother albert; party instead; must find; also forced; aaron riley,7.487843
